               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,           0.0092915,            0.009586,                   0,             0.97626,             0.93717,             0.97405,             0.92066,             0.01592,            0.010888,                   0,             0.00307,             0.00307,             0.00307
                  72,           0.0092929,           0.0095702,                   0,             0.97474,             0.93974,             0.97514,             0.92093,            0.015825,            0.010874,                   0,            0.002971,            0.002971,            0.002971
                  73,           0.0090809,            0.009378,                   0,             0.97626,             0.93685,             0.97468,             0.92085,            0.015867,            0.010865,                   0,            0.002872,            0.002872,            0.002872
                  74,           0.0089589,           0.0093965,                   0,             0.97611,             0.93734,             0.97485,             0.92169,            0.015842,            0.010877,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0088881,           0.0093853,                   0,             0.97667,             0.93597,             0.97331,             0.92139,            0.015867,            0.010887,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0088247,           0.0092769,                   0,             0.97866,             0.93616,             0.97417,             0.92174,            0.015768,            0.010792,                   0,            0.002575,            0.002575,            0.002575
                  77,           0.0087582,           0.0091937,                   0,             0.97409,             0.93768,             0.97419,             0.92187,            0.015743,              0.0109,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0086444,             0.00915,                   0,             0.97904,             0.93572,             0.97339,             0.92139,            0.015658,            0.010871,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.00847,             0.00888,                   0,              0.9804,             0.92909,             0.97243,             0.92125,            0.015631,            0.010895,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0083479,           0.0089053,                   0,             0.96817,             0.94029,              0.9733,             0.92109,            0.015679,            0.010891,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0083559,           0.0089531,                   0,             0.97875,             0.93086,              0.9741,             0.92169,            0.015542,            0.010829,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0083396,           0.0087752,                   0,             0.97917,             0.93265,             0.97455,             0.92186,            0.015487,            0.010852,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0082308,           0.0087172,                   0,             0.97816,              0.9327,             0.97452,             0.92196,            0.015483,            0.010863,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0081851,           0.0086836,                   0,             0.97645,             0.93479,             0.97433,             0.92179,            0.015468,            0.010884,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0080559,           0.0086227,                   0,              0.9776,             0.93442,             0.97367,              0.9217,            0.015475,            0.010886,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0080735,           0.0085922,                   0,             0.98193,             0.93047,             0.97361,             0.92182,            0.015539,            0.010876,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0079921,           0.0085033,                   0,              0.9819,             0.93066,             0.97509,             0.92232,            0.015544,            0.010858,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0079993,           0.0084461,                   0,             0.98178,             0.93146,             0.97502,             0.92264,            0.015514,            0.010829,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0077025,           0.0084176,                   0,              0.9824,             0.93186,             0.97445,              0.9224,            0.015549,            0.010818,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0078516,           0.0084105,                   0,             0.98198,              0.9311,             0.97464,             0.92239,            0.015567,             0.01082,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0078874,           0.0083449,                   0,             0.98321,             0.93164,             0.97447,             0.92287,             0.01555,            0.010839,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0077092,           0.0083302,                   0,              0.9829,             0.93145,             0.97416,             0.92268,            0.015533,            0.010841,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0077625,           0.0082813,                   0,             0.98401,             0.93057,              0.9745,             0.92319,            0.015512,            0.010825,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0077807,           0.0082816,                   0,              0.9834,             0.93102,               0.975,             0.92301,            0.015485,            0.010812,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0075639,           0.0081334,                   0,             0.98219,             0.93152,             0.97427,              0.9229,            0.015506,            0.010814,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0075311,           0.0081443,                   0,              0.9827,             0.93164,             0.97414,             0.92273,             0.01552,            0.010821,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0076046,           0.0080633,                   0,              0.9826,              0.9318,             0.97436,             0.92278,            0.015521,            0.010817,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0074273,           0.0079788,                   0,               0.982,             0.93208,             0.97452,             0.92284,            0.015511,            0.010815,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.007539,           0.0080591,                   0,              0.9823,             0.93204,             0.97471,             0.92289,            0.015487,            0.010814,                   0,            0.000298,            0.000298,            0.000298
